"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
1,1,"HPC",2,"Astro",2,0.533411915909067,0.0222214482926215,0.020806588782743,0.0314959363276415,0.133268003222142,0.0172115707927494,0.0168619238343112,0.0541430757432059,0.0345529910513142,0.00374852823652104,0.132278017807683,"Astro"
1,10,"L5",7,"L5",4,0.235628850908445,0.000422309362829495,0.00824687728110887,0.0449092298433193,0.125748559749587,0.0398777179378003,0.33913227708473,0.0825908718010403,0.026656076473512,0.0133040776028949,0.0834831519547327,"Oligo"
1,11,"L5",7,"L4",3,0.237278512148653,0.000230015683430511,0.0123401021683848,0.0671193242912083,0.225077062908805,0.048499551160803,0.0238861726048588,0.157959045238877,0.0244131157420513,0.0184135642038581,0.18478353384907,"Astro"
1,12,"L4",7,"L4",3,0.215192388938589,0.000573242806985189,0.0363482321600342,0.16679995858749,0.137124222380469,0.0446535661777403,0.0481755778002973,0.0891881758287306,0.0507290113182522,0.131264274662721,0.0799513493386915,"Astro"
1,13,"L4",11,"L4",4,0.275592654191462,0.000359733016138505,0.0824700402068644,0.186618991524749,0.131473390454384,0.0342660126620682,0.027943556562244,0.131560779685302,0.0276879573972696,0.0130582594632984,0.088968624836219,"Astro"
1,14,"L2/3",7,"L2/3",2,0.21835312003288,0.000530579361584378,0.168440690938768,0.188644302706404,0.129531128031874,0.0707692513492706,0.0181553448878733,0.0508955126655267,0.0243509216115391,0.00867142946042689,0.121657718953852,"Astro"
1,15,"L2/3",9,"L2/3",4,0.193172076672207,0.00914569489119926,0.19022283613296,0.109013473427991,0.0526273972286578,0.0122724691371329,0.0215171194824318,0.0165624197428582,0.0526794825203747,0.327149452798303,0.0156375779658839,"Sst"
1,16,"L2/3",7,"L2/3",2,0.284848159605979,0.00630950669121953,0.228682796208034,0.0705076174168667,0.0798905504527363,0.0327860144361957,0.0278399816187126,0.101489690432293,0.0331587091699885,0.0263758299942333,0.108111143973742,"Astro"
1,17,"L2/3",8,"Endo",6,0.347949655311294,0.00192393223068109,0.136411964724769,0.0441379745696361,0.123941858073452,0.0537739583148185,0.0393752723570089,0.0730022702549408,0.0458974317735708,0.00714436268907797,0.126441319700751,"Astro"
1,18,"L1",6,"L2/3",5,0.210953865066342,0.0218542734072726,0.020387559192286,0.0961088799169654,0.0987466104802861,0.0346580249843333,0.00974187775942795,0.0284574345330579,0.0456510370761997,0.00514890988091337,0.428291527702915,"Vip"
1,2,"HPC",10,"Astro",6,0.299649761065118,0.0015778489014455,0.012603065450471,0.0526183417569346,0.052933066025952,0.030714703603801,0.316656201325306,0.0419240589979558,0.0412340990387545,0.0802616461375521,0.0698272076967093,"Oligo"
1,3,"I_CC",6,"Oligo",1,0.000405685110179953,0.000178007956705986,0.00102512558868046,0.0145412585999852,0.014199762888692,0.00414278419344535,0.962929275080825,0.000584994016410617,0.000880308982809486,0.000413937759332721,0.000698859822933149,"Oligo"
1,4,"I_CC",7,"Oligo",2,0.008915348189003,0.000302891212968044,0.000424461568465976,0.00910030971469333,0.00587779727821445,0.00312341400480855,0.957684742126815,0.00764928302935616,0.00323928177071897,0.000636415330300214,0.00304605577465644,"Oligo"
1,5,"L6",12,"L6",4,0.133858599335191,0.0057590465375461,0.02312794721979,0.039881257674174,0.122372048382395,0.129933930066039,0.264722011603814,0.0877969126784044,0.0338425415335879,0.0905622101430596,0.0681434948259988,"Oligo"
1,6,"L6",9,"L6",2,0.255440081578343,6.77357839346658e-05,0.0163818931045913,0.0398820985347226,0.170555419465197,0.236470313016029,0.0495853340093721,0.0796088384544734,0.0410347182585237,0.0154171755557568,0.0955563922390563,"Astro"
1,7,"L6",8,"L6",3,0.186221522274026,0.000314684246420666,0.0217662517760935,0.0400759986640053,0.151444235794601,0.141794033400416,0.185687682999879,0.128093494813828,0.0288582199765372,0.0134876807090571,0.102256195345137,"Astro"
1,8,"L6",8,"L6",4,0.175089432459714,0.00391592424785678,0.0122592999479974,0.0408475014277853,0.107926655880719,0.125852040066567,0.302185851390439,0.0727124731076554,0.0339759150344966,0.0139686919356488,0.111266214501121,"Oligo"
