"gene"
"AW549877"
"Abat"
"Abhd3"
"Acsbg1"
"Acss1"
"Adk"
"Adrbk2"
"Aldh1l1"
"Aldoc"
"Apoe"
"Aqp4"
"Atp1a2"
"Atp1b2"
"Atp6v0e"
"Atraid"
"Bcan"
"Bhlhe40"
"Car2"
"Cd164"
"Cd302"
"Cd63"
"Chchd3"
"Cldn10"
"Cmtm5"
"Ctso"
"Ctsz"
"Cxcl14"
"Cyp2j9"
"Dbi"
"Ddah1"
"Ddit4l"
"Ddt"
"Dgkb"
"Ednrb"
"Elovl5"
"Ephx2"
"F3"
"Fabp7"
"Fam107a"
"Fbxo44"
"Fdft1"
"Fgfr3"
"Fut9"
"Fxyd1"
"Gabrg1"
"Gfap"
"Gja1"
"Gjb6"
"Glul"
"Gpm6b"
"Gpr37l1"
"Grm3"
"Gstm1"
"Gstm5"
"Hadhb"
"Hapln1"
"Hmgcr"
"Hmgcs1"
"Hsd11b1"
"Hsd3b7"
"Hspa2"
"Htra1"
"Id2"
"Isca2"
"Laptm4a"
"Lcat"
"Luzp2"
"Lxn"
"Megf10"
"Mfge8"
"Mmd2"
"Msmo1"
"Mt1"
"Mt2"
"Ndrg2"
"Nfia"
"Nfib"
"Nkain4"
"Nr1d1"
"Ntsr2"
"Pantr1"
"Pax6"
"Pdia4"
"Pitpnc1"
"Pla2g7"
"Plekhb1"
"Pmp22"
"Pon2"
"Ppp1r3c"
"Prdx6"
"Psat1"
"Ptn"
"Ptpn2"
"Ptprz1"
"Qk"
"Rab31"
"Rorb"
"S100a1"
"S100a16"
"S100b"
"S1pr1"
"Sat1"
"Sc5d"
"Scd2"
"Scg3"
"Scrg1"
"Sepp1"
"Serpine2"
"Slc1a2"
"Slc1a3"
"Slc20a1"
"Slc25a17"
"Slc25a18"
"Slc38a3"
"Slc6a1"
"Slc6a11"
"Slco1c1"
"Sox9"
"Sparcl1"
"Thrsp"
"Timp3"
"Timp4"
"Tle4"
"Tmem100"
"Tmem176a"
"Tmem176b"
"Tmem179b"
"Tsc22d3"
"Ttyh1"
"Wls"
"Anxa5"
"Arl4a"
"Arl4d"
"Arpc2"
"B2m"
"Bsg"
"Btg2"
"Car4"
"Cav1"
"Cd34"
"Cldn5"
"Clic1"
"Cnot6l"
"Crip2"
"Cyb5r1"
"Dusp1"
"Dusp6"
"Efna1"
"Elovl1"
"Foxp1"
"Gatm"
"Gemin7"
"Gpx1"
"Gsta4"
"Hpcal1"
"Id3"
"Ifi27"
"Ifitm2"
"Igtp"
"Itih5"
"Itm2a"
"Junb"
"Klf10"
"Klhl5"
"Lims2"
"Lmo2"
"Ly6e"
"Mapk3"
"Mgp"
"Mospd1"
"Ndnf"
"Nrp1"
"Palmd"
"Pcp4l1"
"Pllp"
"Pls3"
"Prss23"
"Rac1"
"Rgs12"
"Sdcbp"
"Sema3c"
"Sgpp2"
"Sh3bgrl"
"Sh3bgrl3"
"Slc1a1"
"Slc50a1"
"Sparc"
"St3gal6"
"Tmbim6"
"Tmsb10"
"Tsc22d1"
"Tspan13"
"Ucp2"
"1110008P14Rik"
"2900055J20Rik"
"6330403K07Rik"
"Ak5"
"Ano3"
"Arc"
"Arpp19"
"Arpp21"
"Atp2b4"
"Atp9a"
"B230216N24Rik"
"Baiap2"
"Bdnf"
"Btbd10"
"C730002L08Rik"
"Cacng3"
"Calb1"
"Camk2a"
"Camk2d"
"Camk2n1"
"Car10"
"Cck"
"Cpne6"
"Ctxn1"
"Dok5"
"Dusp14"
"Egr3"
"Enc1"
"Enpp2"
"Epha4"
"Ephx4"
"Fam131a"
"Fam19a1"
"Fam81a"
"Fkbp1a"
"Fmnl1"
"Fxyd7"
"Gabrd"
"Gda"
"Gm11549"
"Gnb5"
"Gpr22"
"Gria3"
"Gucy1b3"
"Hn1"
"Homer1"
"Hpca"
"Hpcal4"
"Igfbp6"
"Itm2c"
"Kcnv1"
"Kctd4"
"Kifc2"
"Lamp5"
"Ldb2"
"Lin7b"
"Lmo4"
"Lrrc4c"
"Lrrtm4"
"Mal2"
"Map2k1"
"Mas1"
"Mat2b"
"Mef2c"
"Ncdn"
"Necab3"
"Nefl"
"Nell2"
"Nov"
"Nptx2"
"Nrgn"
"Nrn1"
"Osbpl1a"
"Pcsk2"
"Pde1a"
"Pdp1"
"Pea15a"
"Pfkl"
"Pgm2l1"
"Phactr1"
"Pkig"
"Plk2"
"Prkcg"
"Ptgs2"
"Ptk2b"
"Rab15"
"Ralyl"
"Rasgrf2"
"Rasgrp1"
"Rbfox3"
"Rgs2"
"Slc17a7"
"Slc7a4"
"St3gal5"
"Stmn4"
"Stx1a"
"Sv2b"
"Syn1"
"Syndig1"
"Tacc1"
"Tenm2"
"Tnfaip6"
"Tsnax"
"Tusc3"
"Ube2e3"
"Wsb2"
"Adcyap1"
"Brinp3"
"Btbd3"
"Cadps2"
"Camk4"
"Cbln4"
"Cnih3"
"Coch"
"Cpne9"
"Dkk3"
"Dkkl1"
"Egr1"
"Fam134a"
"Fam19a2"
"Gfra2"
"Herc3"
"Hlf"
"Ipcef1"
"Kcnip3"
"Marcks"
"Ndfip1"
"Neurod6"
"Nr4a1"
"Nrep"
"Nrsn1"
"Nudt4"
"Pamr1"
"Plcxd2"
"Ppp3cb"
"Rgs4"
"Rspo1"
"S100a10"
"Satb2"
"Slc17a6"
"Slc2a13"
"Snca"
"Tbr1"
"Trim32"
"Zmat4"
"3110035E14Rik"
"B3galt2"
"Bcap29"
"Cend1"
"Crym"
"Cyb561"
"Deptor"
"Efr3a"
"Elmo1"
"Esd"
"Etv1"
"Fam3c"
"Fezf2"
"Fgf12"
"Gap43"
"Gmpr"
"Gnai1"
"Ina"
"Myl4"
"Ogfrl1"
"Pcp4"
"Rab3c"
"Rap1gds1"
"Rasgrf1"
"Slc5a5"
"Snx10"
"Sulf2"
"A830018L16Rik"
"Amph"
"Arpc3"
"Col6a1"
"Dync1i1"
"Efhd2"
"Eid1"
"Gabra5"
"Igfbp4"
"Lmo3"
"Med10"
"Nnat"
"Nptx1"
"Ptk2"
"Rab26"
"Rprm"
"Sema3e"
"Slc24a2"
"Tubb4b"
"Uap1"
"Usp46"
"2810468N07Rik"
"Apod"
"Cd9"
"Cdk4"
"Cnp"
"Commd3"
"Cryab"
"Gm2a"
"Gsn"
"Hs3st1"
"Kcna1"
"Lgmn"
"Lhfpl3"
"Lpar1"
"Mal"
"Mbp"
"Mcee"
"Med21"
"Mobp"
"Mrpl33"
"Nipsnap3b"
"Papss1"
"Pcdh15"
"Pdgfra"
"Phlda1"
"Plp1"
"Ptgds"
"Qpct"
"Rlbp1"
"Rnf13"
"Sccpdh"
"Sec11c"
"Sept4"
"Sgk1"
"Sirt2"
"Sox2ot"
"Sox6"
"Spon1"
"Tmeff1"
"Tmeff2"
"Tmem258"
"Trf"
"Tspan6"
"Ugdh"
"Acot13"
"Ak1"
"Ankrd29"
"Btbd11"
"Cartpt"
"Cdh13"
"Cort"
"Cox6a2"
"Cplx1"
"Crhbp"
"Ddit3"
"Dnaja2"
"Dnajc15"
"Dner"
"Dynlt3"
"Eef1e1"
"Elavl2"
"Gaa"
"Gad1"
"Gad2"
"Gprasp2"
"Gria1"
"Hspd1"
"Kcnab1"
"Kcnc2"
"Kcnip1"
"Kcnip2"
"Kif5a"
"Laptm4b"
"Lgals1"
"Mtfp1"
"Ndufs1"
"Ndufs2"
"Nek7"
"Nrsn2"
"Nxph1"
"Pacsin2"
"Pnpo"
"Prmt2"
"Pthlh"
"Pvalb"
"Rab27b"
"Rab3b"
"Rbp4"
"Rcan2"
"Rnd2"
"Rpp25"
"Scg2"
"Selm"
"Serpini1"
"Sirt3"
"Slc25a11"
"Spock3"
"Tac1"
"Tceal1"
"Tceal5"
"Th"
"Tmem130"
"Tmem55a"
"Vamp1"
"Vstm2a"
"Zcchc12"
"Acta2"
"Afap1"
"Bcar3"
"C1qtnf7"
"Crispld2"
"Ctgf"
"Cyr61"
"Dgkg"
"Fos"
"Hmgn1"
"Inpp4b"
"Mapre2"
"Mylk"
"Myo1c"
"Nr2f2"
"Nrip2"
"Parm1"
"Pdlim1"
"Pdlim3"
"Pfn1"
"Prdx4"
"Rasl11a"
"Rnd3"
"Rnh1"
"Rps2"
"Sncg"
"Spint2"
"Tpm1"
"Tpm2"
"Trp53i11"
"Tspan12"
"Bex1"
"Cdh9"
"Chl1"
"Gpx3"
"Lhx6"
"Lypd6"
"Lypd6b"
"Mcts1"
"Mgat4c"
"Ndn"
"Npy"
"Nrip3"
"Pdyn"
"Pnck"
"Ppa2"
"Reln"
"Resp18"
"Rit2"
"Rwdd2a"
"Sst"
"Synpr"
"Tmem91"
"Tmx1"
"Vgf"
"A730017C20Rik"
"Adarb2"
"Calb2"
"Caln1"
"Cbln2"
"Cd200"
"Cnr1"
"Cntn4"
"Cpne2"
"Cpne7"
"Crh"
"Dlx1"
