"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
1,2,"HPC",10,"Astro",6,0.237330544095309,0.0499262569865872,0.000535266102033754,0.0943099378475652,0.13121327802954,0.0738181867951649,0.0905750674632588,0.0771400435349365,0.0546178403440622,0.105864806089263,0.0846687727122797,"Astro"
1,3,"I_CC",6,"Oligo",1,0.122414807912846,0.0306036901604163,0.000423670679233995,0.0579074510328688,0.136356297583933,0.0292620623094662,0.375948474048459,0.0937909733022546,0.0497219209050568,0.0534894657077873,0.050081186357678,"Oligo"
1,4,"I_CC",7,"Oligo",2,0.251676530205039,0.0276250987759792,0.0440736132857811,0.000428147921330584,0.0873846335275107,0.024906063844196,0.276678031647975,0.116408332582449,0.0584345717511638,0.0468885334929585,0.0654964429656178,"Oligo"
1,5,"L6",12,"L6",4,0.0755981579953191,0.0405274137847155,0.000329793082187413,0.043984248699921,0.0801910952776095,0.380324339021326,0.0620243791793689,0.0614015056757386,0.0423372028580447,0.154283549193882,0.0589983152318878,"L6"
1,6,"L6",9,"L6",2,0.09115160853083,0.0159110579075432,0.0095426794616465,0.0912288833373279,0.140701324056953,0.463740777593136,0.0204381977943636,0.0507568892703963,0.0440056115297415,0.0312597277180679,0.0412632427999944,"L6"
1,7,"L6",8,"L6",3,0.0736511561265035,0.016707421577246,0.000171257776024416,0.0669345781373516,0.0527987410017144,0.535710395889628,0.0452266666345778,0.0860934144699991,0.0348303737015957,0.0386302507314945,0.0492457439538655,"L6"
1,8,"L6",8,"L6",4,0.0975426018701171,0.0222611752506025,0.0170447952613756,0.128640418217017,0.147095623073055,0.281778108665469,0.063051626950967,0.0820282353859291,0.0396051056416093,0.0388034440455155,0.0821488656383427,"L6"
1,9,"L5",4,"L6",3,0.0986218664638995,0.0156924324471907,0.0232847824591155,0.074447124039306,0.258551665074458,0.186238048487974,0.0533793672239366,0.189103128494791,0.0372471817548768,0.0327545713854635,0.0306798321689878,"L5"
2,1,"HPC",2,"Astro",2,0.254464488377056,0.000174960288660958,0.000174960288660955,0.000174960288660959,0.186983630518386,0.000174960288660957,0.00565012984693953,0.157000391688702,0.0468967903115436,0.000174960288660958,0.348129767814068,"Vip"
2,10,"L5",6,"Oligo",3,0.0999289553653317,0.030729828376942,0.0424923924577763,0.0305771424510187,0.397648835088534,0.000242239666791216,0.199194640714761,0.104196681776915,0.0353124690936074,0.0355732517472288,0.0241035632610933,"L5"
