"x","y","Layer","ID","EPL-IN","GC","M-TC","OSNs","PGC","dominant_hat"
10.857,22.897,"MCL",62,0.0823503257404947,0.0969783787648889,0.709281005053892,1.71495538037479e-06,0.111388575485344,"M-TC"
10.86,24.947,"MCL",70,0.0810305017364324,0.106538817509511,0.563128934472647,1.02835327259772e-05,0.249291462748684,"M-TC"
10.868,20.032,"GL",44,0.115999074268874,0.0436667362142811,0.328670824487314,0.000523107792229185,0.511140257237302,"PGC"
10.868,20.971,"GL",57,0.0378481134262221,0.0628183009516433,0.538021597245357,6.40477236949985e-06,0.361305583604408,"M-TC"
10.877,14.964,"ONL",207,0.0489399803056606,0.220145378067584,0.25788532836335,0.261787331370022,0.211241981893384,"OSNs"
10.877,15.971,"ONL",199,0.0481658027925408,0.175464362888883,0.30755678996704,0.296659955585444,0.172153088766092,"M-TC"
10.877,17.97,"ONL",43,0.0479260385785484,0.188416597970788,0.287832648966065,0.206029643640973,0.269795070843625,"M-TC"
10.892,26.911,"GL",259,0.0573454211789808,0.123759441314238,0.591807659170763,4.78862907082208e-06,0.227082689706948,"M-TC"
10.896,18.992,"ONL",42,0.0409324340231784,0.142828565575601,0.177809920197429,0.437885426461957,0.200543653741835,"OSNs"
10.899,23.91,"MCL",59,0.0436511898822055,0.0585252983076184,0.80162716160068,9.4421645737394e-07,0.096195405993039,"M-TC"
10.903,21.945,"MCL",58,0.189208447247436,0.121168067909974,0.346359904759385,0.00016602780630372,0.343097552276901,"M-TC"
10.906,25.928,"MCL",221,0.0749194964606467,0.129388323748257,0.37404317888677,2.16498886361675e-05,0.421627351015691,"PGC"
12.045,15.052,"ONL",206,0.0538758044860505,0.300367429751165,0.271085893812487,0.269665217019332,0.105005654930965,"GC"
12.064,16.067,"ONL",198,0.0503559809152189,0.177455815377087,0.225934916850685,0.354496732316971,0.191756554540039,"OSNs"
12.068,26.999,"MCL",261,0.0610302873143722,0.145348090148079,0.384704573214413,2.70755103016641e-07,0.408916778568033,"PGC"
12.073,21.045,"MCL",56,0.23838426770921,0.162881492180563,0.309856997741398,2.45447979747319e-05,0.288852697570855,"M-TC"
12.074,17.04,"ONL",14,0.0557000525805306,0.150411848272888,0.187989417277527,0.226253437558895,0.379645244310159,"PGC"
12.08,19.06,"GL",39,0.0592693947255298,0.0271853147136689,0.673145323391663,1.54800269218936e-05,0.240384487142216,"M-TC"
12.092,20.032,"MCL",41,0.13503871272118,0.0621094348362132,0.478491231970111,0.000348781693238458,0.324011838779257,"M-TC"
12.115,22.986,"GCL",61,0.083362205499747,0.746766911413228,0.103328367392276,1.15703329927875e-06,0.06654135866145,"GC"
12.121,18.058,"ONL",40,0.0425804223997023,0.0910397789646747,0.259974033931889,0.160405185416579,0.446000579287155,"PGC"
